,x0,x1,x2,x3,char
0,6.42,4.1,2.11,1.58,B
1,2.6,3.86,2.7,0.93,D
2,6.53,4.25,2.46,1.73,B
3,4.07,4.82,1.52,0.67,D
4,2.82,3.9,3.19,-0.1,D
5,3.03,3.96,5.11,7.16,A
6,5.54,4.18,2.0,2.47,B
7,4.14,3.47,5.2,6.27,A
8,5.18,2.9,2.41,0.86,B
9,3.16,2.82,5.06,6.03,A
10,3.81,4.31,5.11,6.84,A
11,4.81,5.92,5.67,6.02,C
12,6.08,4.4,2.0,1.12,B
13,6.19,4.43,1.89,1.0,B
14,1.84,4.04,1.74,2.02,D
15,2.7,8.04,6.71,7.46,C
16,3.28,4.16,1.91,0.04,D
17,4.72,6.19,6.81,6.54,C
18,4.27,6.43,6.3,5.48,C
19,3.79,8.61,4.76,6.03,C
20,4.68,4.98,5.03,7.12,C
21,4.56,7.31,5.55,8.07,C
22,2.37,6.27,2.32,2.37,D
23,5.01,7.97,4.48,5.96,C
24,4.49,6.88,5.77,4.89,C
25,3.01,3.8,1.76,-1.19,D
26,3.8,4.32,2.75,0.51,D
27,4.56,7.58,6.64,7.57,C
28,6.36,3.8,1.4,2.09,B
29,2.0,5.73,5.5,6.15,C
30,2.64,4.7,1.33,1.85,D
31,6.62,3.94,1.33,-0.44,B
32,6.02,4.88,2.57,1.7,B
33,6.03,4.71,2.53,1.99,B
34,3.63,2.75,3.16,1.12,D
35,6.09,3.99,1.9,1.09,B
36,6.85,3.52,2.88,1.44,B
37,5.4,4.3,2.34,0.11,B
38,5.92,3.18,1.24,1.25,B
39,6.72,6.72,5.93,6.04,C
40,3.44,4.96,4.7,7.07,A
41,3.92,7.27,6.46,5.14,C
42,4.35,6.39,3.93,6.15,C
43,3.92,3.72,5.03,6.27,A
44,5.24,5.92,5.39,6.25,C
45,5.21,3.43,3.13,1.83,B
46,4.21,6.3,4.86,6.62,C
47,3.44,3.69,1.38,0.93,D
48,6.17,3.6,1.78,1.25,B
49,2.12,2.91,2.36,-1.11,D
50,4.61,7.48,5.11,6.58,C
51,2.43,4.26,3.26,1.13,D
52,5.89,3.98,1.54,0.37,B
53,2.35,7.61,7.35,6.84,C
54,2.58,5.83,4.5,5.47,C
55,6.41,7.33,6.45,6.95,C
56,2.69,2.22,1.28,0.09,D
57,3.24,3.95,0.66,1.29,D
58,2.56,4.29,4.84,6.85,A
59,3.13,4.49,5.19,7.32,A
60,6.32,3.64,1.18,0.7,B
61,6.03,4.28,2.03,0.37,B
62,2.92,6.66,5.12,5.45,C
63,1.67,1.88,1.49,0.94,D
64,4.9,5.85,5.38,6.87,C
65,3.2,4.11,5.14,6.66,A
66,1.46,3.43,1.1,1.18,D
67,3.86,7.54,5.07,5.54,C
68,5.96,4.64,1.5,1.3,B
69,2.87,4.01,4.82,6.93,A
70,7.07,4.56,1.79,1.42,B
71,5.34,3.62,1.78,0.71,B
72,3.65,6.12,4.06,6.26,C
73,2.93,3.55,5.26,6.46,A
74,2.59,4.75,1.49,0.29,D
75,5.47,6.01,4.85,6.52,C
76,3.59,6.42,0.5,3.04,D
77,5.14,2.51,2.07,0.81,B
78,3.45,3.35,3.36,2.52,D
79,4.27,7.11,5.22,4.98,C
80,4.38,6.52,4.38,5.66,C
81,3.44,8.04,5.76,6.06,C
82,3.36,2.84,2.4,0.67,D
83,5.69,4.06,2.36,0.77,B
84,2.57,7.68,3.16,4.97,C
85,3.25,3.6,5.82,7.26,A
86,2.0,6.61,5.54,6.83,C
87,5.74,4.52,2.29,1.45,B
88,7.16,4.05,0.91,1.21,B
89,5.0,4.46,1.96,1.42,B
90,3.18,3.1,2.25,-0.02,D
91,6.01,3.48,1.77,1.75,B
92,4.46,4.08,2.3,-1.38,D
93,6.6,4.39,2.13,1.5,B
94,3.5,4.33,1.87,1.74,D
95,3.95,6.39,6.33,6.09,C
96,3.52,7.9,4.51,5.74,C
97,3.32,5.79,2.67,2.49,D
98,2.93,3.7,5.24,6.9,A
99,5.94,2.84,2.07,0.27,B
100,2.83,3.77,4.17,7.98,A
101,2.87,5.65,1.55,0.38,D
102,5.8,7.44,5.7,5.67,C
103,2.93,4.14,5.75,6.11,A
104,2.36,4.95,2.47,2.09,D
105,1.11,3.81,0.15,1.01,D
106,3.07,3.74,5.33,6.75,A
107,2.28,2.19,2.56,0.09,D
108,2.91,4.38,4.89,6.24,A
109,5.41,7.65,5.91,6.14,C
110,2.9,4.28,2.38,-1.09,D
111,6.04,3.86,1.43,1.27,B
112,3.55,4.17,4.62,6.64,A
113,2.03,8.66,2.2,6.96,C
114,3.54,4.23,5.23,7.91,A
115,5.65,3.39,2.09,1.94,B
116,3.35,4.16,2.2,1.1,D
117,6.03,4.08,1.78,0.18,B
118,3.82,3.45,2.07,1.93,D
119,2.75,3.73,4.11,7.57,A
120,5.76,3.96,1.88,-0.04,B
121,5.68,3.55,2.61,0.85,B
122,2.35,3.9,3.49,2.19,D
123,6.28,3.51,1.15,-0.08,B
124,3.18,3.22,5.19,7.34,A
125,6.68,4.42,2.9,1.97,B
126,6.81,4.11,2.7,0.65,B
127,6.12,3.76,1.04,1.15,B
128,4.08,3.27,2.16,1.1,D
129,6.23,4.6,1.45,0.82,B
130,5.64,3.7,1.92,1.09,B
131,2.16,3.51,5.17,7.08,A
132,6.2,3.41,3.15,1.35,B
133,5.84,3.39,2.13,0.98,B
134,4.24,4.41,2.32,1.02,B
135,1.43,4.15,1.43,3.04,D
136,3.22,5.98,6.87,4.75,C
137,2.88,4.36,5.26,6.85,A
138,5.99,3.91,1.14,1.59,B
139,6.13,3.58,1.5,0.3,B
140,5.09,6.35,6.95,8.15,C
141,2.52,5.05,1.62,0.58,D
142,5.27,3.6,1.69,0.81,B
143,5.28,8.4,4.55,6.92,C
144,5.32,4.96,2.53,1.6,B
145,4.35,3.58,5.09,6.69,A
146,5.47,3.47,1.15,1.67,B
147,3.93,2.41,1.28,-0.47,D
148,5.79,3.75,2.06,0.61,B
149,3.39,3.89,1.31,-0.9,D
150,2.72,3.97,0.86,1.14,D
151,2.18,6.15,5.51,7.5,C
152,7.33,3.79,1.41,1.13,B
153,2.88,3.95,2.58,2.18,D
154,4.0,3.03,5.62,7.13,A
155,3.38,4.3,5.22,7.08,A
156,2.89,3.56,2.7,0.46,D
157,2.12,3.78,2.55,1.31,D
158,3.81,4.04,2.3,1.09,D
159,5.82,4.3,1.85,1.02,B
160,6.21,3.71,2.54,1.13,B
161,4.21,6.13,4.29,7.52,C
162,3.47,3.72,1.91,0.36,D
163,5.68,7.87,5.07,4.7,C
164,4.66,7.01,4.94,5.23,C
165,3.42,4.32,3.05,2.4,D
166,4.62,6.71,5.51,7.81,C
167,6.8,3.5,2.19,0.64,B
168,6.49,3.14,3.02,1.54,B
169,6.41,3.92,1.96,0.58,B
170,3.62,4.76,2.71,0.87,D
171,6.62,4.46,1.31,1.38,B
172,3.05,4.91,1.3,0.05,D
173,2.38,3.2,4.42,1.24,D
174,3.98,5.05,2.89,1.23,D
175,5.66,2.95,1.76,0.15,B
176,3.54,6.7,4.11,8.03,C
177,6.64,4.6,2.61,0.51,B
178,1.97,4.62,1.7,-1.1,D
179,3.62,7.53,3.42,6.31,C
180,6.79,3.24,2.21,1.25,B
181,4.65,3.4,2.06,1.4,B
182,5.2,7.84,6.37,5.92,C
183,1.25,4.9,2.33,0.35,D
184,6.34,3.88,2.19,1.36,B
185,5.5,4.3,1.76,0.67,B
186,6.63,3.11,0.94,0.88,B
187,3.75,5.08,3.75,0.22,D
188,5.7,8.0,5.06,7.18,C
189,2.88,6.04,4.03,5.91,C
190,3.19,3.77,4.03,7.25,A
191,3.2,4.52,4.77,6.91,A
192,2.71,6.99,7.06,6.34,C
193,2.75,3.87,5.28,6.81,A
194,4.52,3.15,2.29,1.17,B
195,4.93,3.34,0.74,0.62,B
196,2.58,3.52,5.63,7.17,A
197,6.86,4.04,1.24,0.78,B
198,7.19,4.44,2.34,0.62,B
199,2.21,3.79,5.42,7.12,A
